M+N,Time in MS (Basic),Time in MS (Efficient),Memory in KB (Basic),Memory in KB (Efficient)
16,0.0515,0.0334,14444.0000,10224.0000
64,0.2639,0.3300,14444.0000,10184.0000
128,1.4837,0.7851,14444.0000,10296.0000
256,3.1474,3.0315,14444.0000,10732.0000
384,7.1287,7.3001,14444.0000,11404.0000
512,12.8899,12.5029,14444.0000,12552.0000
768,30.4420,38.1052,15872.0000,15764.0000
1024,54.3151,52.2323,20316.0000,20420.0000
1280,84.5282,91.8896,26184.0000,26224.0000
1536,176.4815,219.2085,33236.0000,33076.0000
2048,332.1996,376.0722,51152.0000,20936.0000
2560,349.9360,488.7855,74460.0000,28468.0000
3072,488.6360,694.8125,102596.0000,33824.0000
3584,698.3454,952.1835,136128.0000,43404.0000
3968,839.5195,1197.2840,164692.0000,49208.0000
